city,year,income,expend,gdp,deposit,gap,gap_to_gdp,income_growth,expend_growth,region_group,is_tier1
上海,2006,1576.0742,1795.566,10825.4,8730.0,219.4918,0.020275629537938555,,,长三角,True
上海,2007,2074.4792,2181.678,13179.8,8745.22,107.19879999999966,0.008133568035933753,31.623193882623045,21.503637293198906,长三角,True
上海,2008,2358.7464,2593.9161,14877.1,11464.15,235.16969999999992,0.015807496084586373,13.70306340020182,18.895460283323207,长三角,True
上海,2009,2540.2975,2989.65,16181.4,13707.32,449.35249999999996,0.027769692362836343,7.696931726106726,15.256233615266135,长三角,True
上海,2010,2873.584,3302.8862,18319.6,15650.2391213502,429.3022000000001,0.023434037861088677,13.119979057571008,10.477353536367119,长三角,True
上海,2011,3429.83,3914.88,20406.1,17288.4547267085,485.0500000000002,0.023769853132151672,19.35722080857911,18.52906103758587,长三角,True
上海,2012,3743.7053,4184.017,21774.9,19506.7,440.31169999999975,0.020221066457251226,9.151336946729138,6.874719020761799,长三角,True
上海,2013,4109.5086,4528.6079,23809.4,20486.2536071674,419.09929999999986,0.017602262131763077,9.771156399516801,8.23588670887332,长三角,True
上海,2014,4585.5534,4923.4372,25964.5,21269.3,337.8838000000005,0.013013298927381638,11.583983544893893,8.71855785969018,长三角,True
上海,2015,5519.5,6191.5601,27821.6,23384.7295,672.0600999999997,0.02415605500761997,20.36715132354583,25.756861486930305,长三角,True
上海,2016,6406.13,6918.94,30963.9,23639.8015,512.8099999999995,0.01656154424991682,16.06359271673159,11.747926019485778,长三角,True
上海,2017,6642.2638,7547.6208,34378.3,24338.48,905.357,0.026335130009337283,3.686060070588626,9.086374502452689,长三角,True
上海,2018,7108.148,8351.5376,37769.1,27071.74,1243.3895999999995,0.03292081622278528,7.013937025506278,10.65126112324033,长三角,True
上海,2019,7165.0984,8179.284,40241.2,31727.73,1014.1855999999998,0.025202667912487695,0.8011988495456146,-2.0625375619454767,长三角,True
上海,2020,7046.2987,8102.112,41603.9,36733.9728,1055.8132999999998,0.025377748239948653,-1.658033056461572,-0.9435055684580695,长三角,True
上海,2021,7771.8002,8430.8562,47059.4,41150.4,659.0560000000005,0.014004768441586601,10.296207000137514,4.057512411578612,长三角,True
上海,2022,7608.0,9393.0,48594.5,52638.0,1785.0,0.03673255203778206,-2.1076223755726486,11.412171874073707,长三角,True
上海,2023,8312.5,9638.51,51404.5,58319.9286,1326.0100000000002,0.02579560155239328,9.259989484752884,2.6137549238794966,长三角,True
上海,2024,8374.1665,9874.8381,53759.5,63910.9863,1500.6716000000015,0.027914537895627776,0.741852631578932,2.451915285661377,长三角,True
乌鲁木齐,2006,57.0356,49.5342,654.3019,678.16,-7.501400000000004,-0.011464738219467197,,,其他,False
乌鲁木齐,2007,73.4279,68.3153,820.28,679.53,-5.1126000000000005,-0.006232749792753694,28.740470863811353,37.915420053215755,其他,False
乌鲁木齐,2008,100.98,99.35,1020.3488,872.22,-1.6300000000000097,-0.0015974929357490397,37.522658281116605,45.42862287071856,其他,False
乌鲁木齐,2009,113.538,133.8811,1095.0,1040.707,20.343100000000007,0.01857817351598174,12.436125965537714,34.7570206341218,其他,False
乌鲁木齐,2010,147.9938,159.6108,1338.5,1242.8526,11.617000000000019,0.008679118416137482,30.347372685796813,19.21832133139032,其他,False
乌鲁木齐,2011,229.5887,238.4851,1690.0347,1470.3412,8.8964,0.005264033927824085,55.133998856708864,49.41664348527792,其他,False
乌鲁木齐,2012,252.0052,295.6004,2004.1,1715.9659,43.59519999999998,0.02175300633700912,9.763764505831517,23.949211082788825,其他,False
