city,year,income,expend,gdp,deposit,gap,gap_to_gdp,income_growth,expend_growth,region_group,is_tier1,re_invest,sale_area,re_avg_price,res_sale_area,res_avg_price
上海,2006,1576.0742,1795.566,10825.4,8730.0,219.4918,0.020275629537938555,,,长三角,True,1275.5938,3025.4003,7196.00014583194,2615.4915,7039.00012674482
上海,2007,2074.4792,2181.678,13179.8,8745.22,107.19879999999966,0.008133568035933753,31.623193882623045,21.503637293198906,长三角,True,1307.5256,3694.9578,8360.99995512804,3279.1745,8252.99995471421
上海,2008,2358.7464,2593.9161,14877.1,11464.15,235.16969999999992,0.015807496084586373,13.70306340020182,18.895460283323207,长三角,True,1435.7349,2339.29,8195.0,2007.48,8115.0
上海,2009,2540.2975,2989.65,16181.4,13707.32,449.35249999999996,0.027769692362836343,7.696931726106726,15.256233615266135,长三角,True,1462.0724,3372.45,12840.0,2928.04,12364.0
上海,2010,2873.584,3302.8862,18319.6,15650.2391213502,429.3022000000001,0.023434037861088677,13.119979057571008,10.477353536367119,长三角,True,1980.68,2060.96,14464.0,1690.82,14290.0
上海,2011,3429.83,3914.88,20406.1,17288.4547267085,485.0500000000002,0.023769853132151672,19.35722080857911,18.52906103758587,长三角,True,2253.8314,1790.8598,14603.2352728002,1499.9998,13565.8338087778
上海,2012,3743.7053,4184.017,21774.9,19506.7,440.31169999999975,0.020221066457251226,9.151336946729138,6.874719020761799,长三角,True,2381.3574,1898.459,14061.3739880608,1592.6284,13869.8832696943
上海,2013,4109.5086,4528.6079,23809.4,20486.2536071674,419.09929999999986,0.017602262131763077,9.771156399516801,8.23588670887332,长三角,True,2819.5915,2382.2014,16420.0,2015.8086,16192.0
上海,2014,4585.5534,4923.4372,25964.5,21269.3,337.8838000000005,0.013013298927381638,11.583983544893893,8.71855785969018,长三角,True,3206.4773,2084.6637,16787.0,1780.9092,16415.0
上海,2015,5519.5,6191.5601,27821.6,23384.7295,672.0600999999997,0.02415605500761997,20.36715132354583,25.756861486930305,长三角,True,3468.9415,2431.3599,20949.0,2009.1663,21501.0
上海,2016,6406.13,6918.94,30963.9,23639.8015,512.8099999999995,0.01656154424991682,16.06359271673159,11.747926019485778,长三角,True,3709.0311,2705.6889,24747.0,2019.7967,25910.0
上海,2017,6642.2638,7547.6208,34378.3,24338.48,905.357,0.026335130009337283,3.686060070588626,9.086374502452689,长三角,True,3856.5278,1691.6016,23804.0,1341.6197,24866.0
上海,2018,7108.148,8351.5376,37769.1,27071.74,1243.3895999999995,0.03292081622278528,7.013937025506278,10.65126112324033,长三角,True,4033.1832,1767.01,26890.0770227673,1333.2914,28981.1057057744
上海,2019,7165.0984,8179.284,40241.2,31727.73,1014.1855999999998,0.025202667912487695,0.8011988495456146,-2.0625375619454767,长三角,True,4231.3761,1696.3432,30677.0,1353.6992,32926.0
上海,2020,7046.2987,8102.112,41603.9,36733.9728,1055.8132999999998,0.025377748239948653,-1.658033056461572,-0.9435055684580695,长三角,True,4698.7486,1789.1616,33798.0,1434.0696,36741.0
上海,2021,7771.8002,8430.8562,47059.4,41150.4,659.0560000000005,0.014004768441586601,10.296207000137514,4.057512411578612,长三角,True,5035.1841,1880.4536,36102.0,1489.946,40974.0
上海,2022,7608.0,9393.0,48594.5,52638.0,1785.0,0.03673255203778206,-2.1076223755726486,11.412171874073707,长三角,True,4979.5393,1852.8837,40302.0,1561.5112,44430.0
上海,2023,8312.5,9638.51,51404.5,58319.9286,1326.0100000000002,0.02579560155239328,9.259989484752884,2.6137549238794966,长三角,True,6062.0387,1811.7051,40170.0,1456.9583,45997.0
上海,2024,8374.1665,9874.8381,53759.5,63910.9863,1500.6716000000015,0.027914537895627776,0.741852631578932,2.451915285661377,长三角,True,6228.9059,1656.8637,41484.0,1356.729,47223.0
乌鲁木齐,2006,57.0356,49.5342,654.3019,678.16,-7.501400000000004,-0.011464738219467197,,,其他,False,53.1084,413.4524,2166.36304445203,381.9029,2020.94040134285
乌鲁木齐,2007,73.4279,68.3153,820.28,679.53,-5.1126000000000005,-0.006232749792753694,28.740470863811353,37.915420053215755,其他,False,81.7958,498.6926,2667.13602728414,468.08,2528.46949239446
乌鲁木齐,2008,100.98,99.35,1020.3488,872.22,-1.6300000000000097,-0.0015974929357490397,37.522658281116605,45.42862287071856,其他,False,99.9631,296.1,3244.0,265.06,3031.0
乌鲁木齐,2009,113.538,133.8811,1095.0,1040.707,20.343100000000007,0.01857817351598174,12.436125965537714,34.7570206341218,其他,False,113.2955,537.27,3446.0,505.57,3285.0
乌鲁木齐,2010,147.9938,159.6108,1338.5,1242.8526,11.617000000000019,0.008679118416137482,30.347372685796813,19.21832133139032,其他,False,143.03,444.61,4524.0,405.3,4265.0
乌鲁木齐,2011,229.5887,238.4851,1690.0347,1470.3412,8.8964,0.005264033927824085,55.133998856708864,49.41664348527792,其他,False,194.292,465.8373,5253.78281215351,421.507,4969.78223374701
乌鲁木齐,2012,252.0052,295.6004,2004.1,1715.9659,43.59519999999998,0.02175300633700912,9.763764505831517,23.949211082788825,其他,False,220.6935,371.6101,5639.11745132869,337.2962,5255.03993226132
乌鲁木齐,2013,301.9047,353.2024,2202.8545,1896.3048,51.29770000000002,0.023286921582882585,19.800980297231963,19.486441831607813,其他,False,270.5936,535.6684,6111.0,488.5382,5858.0
乌鲁木齐,2014,340.6243,404.8053,2461.4698,1974.84,64.18099999999998,0.02607425855884967,12.82510673070012,14.610008312514289,其他,False,329.976,461.7934,6429.0,401.7521,5758.0
乌鲁木齐,2015,368.6663,446.6619,2631.6398,2157.3093,77.99560000000002,0.02963764265915116,8.23253067969607,10.339933790392575,其他,False,366.867,524.956,6669.0,465.4066,6142.0
乌鲁木齐,2016,369.6734,417.5628,2458.9766,2295.6888,47.889399999999966,0.01947533782956697,0.27317387024528017,-6.514793404138574,其他,False,362.4975,582.0043,6314.0,519.6594,5829.0
乌鲁木齐,2017,400.7781,458.5812,2743.8202,2600.3858,57.80310000000003,0.021066650066939526,8.414102826981873,9.823288856191216,其他,False,422.7395,606.9361,6668.0,525.9742,6188.0
乌鲁木齐,2018,458.2753,659.7858,3099.7659,2871.1134,201.51049999999998,0.0650082962716636,14.34639267963993,43.875457607071546,其他,False,659.1507,605.3038,8357.45620628848,509.2802,7757.03433983886
乌鲁木齐,2019,472.4647,620.2786,3413.0,3171.7101,147.8139,0.043309082918253736,3.0962611338642976,-5.9878827340630885,其他,False,544.1344,657.4153,8690.0,566.8474,8728.0
乌鲁木齐,2020,392.6378,536.8738,3337.0,3680.2754,144.23599999999993,0.04322325442013783,-16.895844282123086,-13.446344916622955,其他,False,550.4005,716.0853,8081.0,636.8411,7959.0
乌鲁木齐,2021,377.926,419.5874,3691.57,4027.8586,41.661400000000015,0.011285550592295423,-3.7469138223574117,-21.8461768855176,其他,False,537.7692,764.1568,8116.0,703.0623,8013.0
乌鲁木齐,2022,314.8203,455.7678,3893.22,4647.5182,140.94750000000005,0.03620332269946216,-16.697898530400135,8.622851877820924,其他,False,311.9536,449.4284,8268.0,421.072,8025.0
乌鲁木齐,2023,369.7888,504.0517,4168.0,5305.9981,134.2629,0.03221278790786948,17.46027813327158,10.593969121995883,其他,False,358.0816,548.9991,8959.0,497.9278,8586.0
乌鲁木齐,2024,371.3048,465.5229,4502.16,5905.76,94.21809999999999,0.020927310446541215,0.40996374146540226,-7.643819076495529,其他,False,366.6525,409.0074,9442.0,348.5622,8828.0
兰州,2006,33.1417,63.1321,638.4705,687.7518,29.9904,0.04697225635326926,,,其他,False,53.8417,208.6341,2614.24187129525,195.183,2514.68109415267
兰州,2007,46.6256,83.2982,732.7581,649.6569,36.672599999999996,0.05004734850423352,40.68560152315661,31.942704266134015,其他,False,74.4476,268.9835,2966.60204064562,255.2822,2919.61601709794
兰州,2008,50.8618,99.6601,846.2811,823.83,48.7983,0.05766204633424993,9.08556672729146,19.642561303845717,其他,False,92.4272,140.17,3145.0,134.05,3062.0
兰州,2009,57.0385,119.8342,926.0,1089.9721,62.7957,0.06781393088552916,12.144084558548851,20.242905636257635,其他,False,99.0776,244.03,3624.0,224.68,3499.0
兰州,2010,72.7579,146.9264,1100.4,1295.9451,74.1685,0.06740139949109414,27.559280135347187,22.60807015025761,其他,False,118.28,228.21,4233.0,206.81,4065.0
兰州,2011,86.4897,175.4806,1360.0299,1480.1626,88.99090000000001,0.06543304672934029,18.87327699122705,19.434356249115204,其他,False,154.8444,131.0912,4747.41248840502,118.1286,4229.09439373699
兰州,2012,103.7303,202.5976,1563.8,1743.1811,98.8673,0.0632224709042077,19.933703088344636,15.452990245075515,其他,False,209.7401,190.3502,5697.51962435553,176.7479,5420.66977882057
兰州,2013,124.4956,242.3426,1776.2823,2021.5573,117.84700000000001,0.0663447471159286,20.018548100217572,19.617705244287208,其他,False,257.435,253.4619,5868.0,237.3499,5520.0
兰州,2014,152.3299,280.1041,2000.9389,2262.9407,127.77420000000001,0.06385712227394849,22.35765762002835,15.581866333034311,其他,False,317.0837,480.3586,6460.0,439.4287,5860.0
兰州,2015,185.1917,344.0019,2095.992,2608.5399,158.81019999999998,0.07576851438364267,21.572783806724736,22.812161621340053,其他,False,320.5558,628.123,6495.0,578.6186,6089.0
兰州,2016,215.4794,424.1597,2264.2318,2796.2448,208.6803,0.0921638411756252,16.35478263874677,23.30155734604955,其他,False,391.15,828.7934,6601.0,713.9217,6162.0
兰州,2017,234.2001,429.3614,2523.5441,2949.2658,195.1613,0.077336195551328,8.687930261547038,1.2263541302957481,其他,False,418.2571,697.9254,7634.0,609.3968,7137.0
兰州,2018,253.3169,465.6417,2732.9373,3244.0812,212.3248,0.07769106155490652,8.16259258642502,8.44982804695531,其他,False,575.218,642.4214,7923.93123890331,565.9266,7231.86717146711
兰州,2019,233.2261,456.6617,2837.0,3571.176,223.4356,0.0787577017976736,-7.931093424876112,-1.9285214361170921,其他,False,550.6744,718.4354,7626.0,673.4834,7332.0
兰州,2020,247.131,486.2409,2887.0,3859.627,239.1099,0.08282296501558711,5.961982814101852,6.47726752648623,其他,False,553.7697,846.4769,8401.0,796.7885,8281.0
兰州,2021,276.7279,484.589,3231.29,4082.9699,207.86110000000002,0.06432759052886,11.976198858095488,-0.3397287229437107,其他,False,602.763,799.5752,7941.0,761.5444,7795.0
兰州,2022,220.9765,498.7969,3343.5,4569.2581,277.8204,0.08309268730372364,-20.14664947047262,2.931948517197047,其他,False,486.4549,282.2336,7977.0,259.1631,7830.0
兰州,2023,255.3279,502.9172,3487.0,5130.1717,247.58929999999998,0.07100352738743905,15.54527291363561,0.8260476358213031,其他,False,401.5446,335.7544,8656.0,315.2239,8453.0
兰州,2024,251.9062,547.6361,3742.25,5639.5427,295.72990000000004,0.07902462422339503,-1.3401199007237352,8.891901092267297,其他,False,297.3123,305.7469,8255.0,284.961,7886.0
北京,2006,1117.1514,1296.8389,8618.9,8705.6,179.6875,0.020848078061005467,,,其他,True,1719.865,2607.6178,8279.51013373202,2205.0296,7375.40892875089
北京,2007,1492.638,1649.5023,10730.4,9155.34,156.86430000000018,0.014618681503019476,33.61107545494728,27.194079387964077,其他,True,1995.8206,2176.5727,11553.2584783407,1731.4798,10661.2447918826
北京,2008,1837.3238,1959.2857,12167.6,11952.84,121.96190000000001,0.01002349682764062,23.092390787317484,18.78041637165342,其他,True,1908.7387,1335.37,12418.0,1031.43,11648.0
北京,2009,2026.8089,2319.3658,13335.7,14672.1,292.55690000000004,0.02193787352744888,10.313103221108877,18.378131377164664,其他,True,2337.7124,2362.25,13799.0,1880.45,13224.0
北京,2010,2353.9301,2717.3174,15420.2,17003.1121859824,363.38729999999987,0.023565667111970005,16.13971598407724,17.15777649217729,其他,True,2901.07,1639.53,17782.0,1201.39,17151.0
